,0,1,,
0,Datasets,Transformers,ConvTran,CNN
1,FaceDetection,0.522417707150965,0.538592508513053,0.543700340522134
2,SelfRegulationSCP1,0.815699658703072,0.853242320819113,0.709897610921502
3,SelfRegulationSCP2,0.505555555555556,0.544444444444444,0.511111111111111
4,ArticularyWordRecognition,0.736666666666667,0.95,0.953333333333333
5,PhonemeSpectra,0.051893826424098,0.172382940650164,0.173277661795407
6,Heartbeat,0.692682926829268,0.726829268292683,0.741463414634146
7,PenDigits,0.544311034877073,0.39136649514008,0.363636363636364
8,StandWalkJump,0.466666666666667,0.133333333333333,0.266666666666667
9,LSST,0.467153284671533,0.170721816707218,0.359286293592863
10,UWaveGestureLibrary,0.434375,0.846875,0.671875
11,MotorImagery,0.56,0.55,0.44
12,JapaneseVowels,0.867567567567568,0.943243243243243,0.967567567567568
13,BasicMotions,0.525,0.9,0.9
14,NATOPS,0.577777777777778,0.883333333333333,0.861111111111111
15,Handwriting,0.072941176470588,0.182352941176471,0.155294117647059
16,Cricket,0.791666666666667,0.972222222222222,0.972222222222222
17,ERing,0.677777777777778,0.811111111111111,0.8
18,RacketSports,0.598684210526316,0.657894736842105,0.638157894736842
19,SpokenArabicDigits,0.755343337880855,0.950886766712142,0.949067758071851
20,InsectWingbeat,0.18984,0.29092,0.30728
21,CharacterTrajectories,0.758356545961003,0.990947075208914,0.987465181058496
22,FingerMovements,0.6,0.59,0.54
23,EthanolConcentration,0.247148288973384,0.269961977186312,0.281368821292776
24,Epilepsy,0.572463768115942,0.956521739130435,0.91304347826087
25,EigenWorms,0.534351145038168,0.534351145038168,0.419847328244275
26,HandMovementDirection,0.378378378378378,0.283783783783784,0.216216216216216
27,AtrialFibrillation,0.466666666666667,0.2,0.333333333333333
28,Libras,0.266666666666667,0.783333333333333,0.644444444444444
29,PEMS-SF,0.711,0.682,0.699
30,DuckDuckGeese,0.62,0.62,0.62
